Model,Accuracy,Precision,Recall,F1 Score,AUROC,ATE Error,PEHE,Treated_Accuracy,Control_Accuracy,Treated_AUROC,Control_AUROC
T-Learner (LogReg),0.8122755395441984,0.08782603796969185,0.7264678471575023,0.15670704126250187,0.8573220555439611,0.01270163673259625,0.28955510094705444,0.6692850637522769,0.8472560678428697,0.7569551678589822,0.8966538476319579
T-Learner (DecisionTree),0.7723453530392366,0.07005857898715041,0.6910531220876048,0.12721969631980784,0.8266642935272854,0.05225635630644114,0.32386765764146613,0.6465163934426229,0.8031275674320806,0.7070500165027529,0.7849729935575835
T-Learner (RandomForest),0.9706649064118772,0.1956521739130435,0.07129543336439888,0.10450819672131148,0.8484693384533887,0.0016714395119899472,0.18884752485765652,0.8670878870673953,0.9960035091139487,0.6423214952236511,0.7683532937465937
T-Learner (GradientBoost),0.8475850572269275,0.10552003849590981,0.7152842497670084,0.18390942311148387,0.8824428914815958,0.0464883824320801,0.25960401108225256,0.6791325136612022,0.8887945079581692,0.7612135361720769,0.9124646424790727
T-Learner (SVC),0.9759904230205525,0.0,0.0,0.0,0.9203242802018798,0.003903322591321534,0.1755446328106132,0.8924180327868853,0.9964351858298637,0.7223041622709948,0.8522174902961974
T-Learner (K-NearestNeigh),0.9743457781855204,0.30809399477806787,0.05498602050326188,0.09331751680506128,0.7141946016670058,0.004150771066828034,0.20125805736580699,0.8833674863387978,0.9966022864940888,0.6096088543849738,0.5799819658628785
T-Learner (XGBoost),0.9251406898557859,0.17212523445390276,0.5559179869524697,0.2628621791340751,0.9064649824036379,0.09681333571999534,0.26045202682333257,0.7063410746812386,0.9786668152005904,0.725958526456039,0.8149710687371605
